Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,Class
47.1,140.9,24.4,7,3.6,144.6,1,Bhuttan
48.4,150.8,13.1,6.8,6.1,154.8,1,Assam
41.3,130.4,3.4,10.2,6.9,135.8,0,Assam
26,135.8,15.9,9.1,6,135.8,1,Assam
32.8,137.5,18.9,12,3.2,139.9,0,Assam
68.3,160.4,7.5,9.1,5.6,159.5,1,Assam
36.1,143.8,3.8,6.3,5.3,151.2,0,Bhuttan
42.7,131.9,6.2,13.5,6.1,131.9,0,Assam
37.7,140.4,9.2,7.4,4.7,144.7,1,Assam
32.5,140.3,11.2,8.6,6.4,145.8,1,Assam
41.8,155.9,12.3,11.8,6.3,161.3,1,Assam
23.4,140.8,9.5,7.7,6.5,145.5,1,Assam
44.4,147.5,13.8,9.3,5.1,150.4,1,Assam
50.9,123.7,15.6,8.9,5.7,131.2,1,Bhuttan
49.7,158.7,18.2,10.6,4.1,168.1,1,Bhuttan
35.2,136.3,7.8,10,4.9,140.1,1,Assam
60.3,141.2,12.2,6.5,6.9,144.6,0,Assam
40.7,134.6,6.5,9.3,4.3,139.9,1,Assam
36.2,136.1,10.7,9.4,4.2,136.9,0,Assam
25.1,127.9,9.5,9,6.3,131.5,0,Assam
43.6,158.6,12.6,10.2,3.3,164.6,1,Bhuttan
39.4,116.7,4.5,7.3,7.1,115.9,0,Assam
66.2,143.7,24,10.2,4.6,151,0,Bhuttan
53.4,156.1,8.5,7.4,7.5,154.7,0,Assam
36.1,153,24.5,6.3,6.4,159.1,0,Bhuttan
34.3,114.2,3.9,12,5.3,119,1,Assam
39.4,149.2,14.1,9.5,5.5,149.6,1,Assam
34.6,145.2,10,8.8,5.3,143.6,1,Assam
42.4,151.8,10,8.8,6.3,154,1,Assam
47.6,172.1,28.6,7.3,6.8,177.5,1,Bhuttan
27.1,161.5,13.9,12.1,7,163.3,0,Assam
50.1,129.5,11.6,4.7,5.5,136.4,1,Bhuttan
38.1,146.2,9.7,9.7,4.4,154.6,0,Bhuttan
44.8,154.7,15.4,10,7.8,159.2,0,Assam
71.1,155.7,28,8.5,5.6,163.5,0,Bhuttan
43.8,164.3,17.4,6.1,5.7,174.7,1,Bhuttan
37.8,155.6,17.1,5.8,7,155.2,0,Assam
65.9,169,16.9,7.8,5.6,174.6,1,Bhuttan
53.9,164.8,15.7,12.6,6.6,164.2,0,Assam
45.4,156,16.5,6.2,5.5,155.3,0,Assam
37.3,134.6,14.5,6.3,5.6,140.1,0,Bhuttan
57.3,161.9,17.8,7.9,4.1,169,1,Bhuttan
35.6,152.5,21.1,8,4.1,156.3,1,Bhuttan
51.5,135.3,21.6,7.7,5.8,140.2,0,Bhuttan
38.7,140.5,18.1,8.6,3.8,147.5,1,Bhuttan
43.6,129.7,9.5,9.2,7.3,136,1,Bhuttan
61.2,172.5,21.7,6.2,5.3,178.2,1,Bhuttan
32.2,159.3,14.9,9,4.5,167.4,0,Bhuttan
40.3,140.6,17.2,9.2,7,146.8,1,Bhuttan
45.1,142.6,10.3,11.8,4.2,140.7,1,Assam
50.9,137.6,22.1,8.8,4.9,143,0,Bhuttan
29,151.3,12.5,10.7,5.6,151.3,1,Assam
33.9,153,13.9,11.7,6.3,154,1,Assam
60.3,152,18.6,9.7,4.3,157.1,1,Bhuttan
47.5,152.2,16.7,10.1,5.7,154.5,0,Bhuttan
58.5,160.3,11.2,8.2,4.7,169.2,0,Bhuttan
49.6,146,11.2,6.5,6.3,150.7,0,Bhuttan
43.2,143.8,8.8,10,3.7,151.6,1,Bhuttan
58.6,143.8,15,6,6.3,152,0,Bhuttan
44.1,141.1,17.4,8.7,4.6,148.7,0,Bhuttan
46.7,137.8,19.5,6.7,3.7,144.4,0,Bhuttan
44.7,152.4,20.2,7.1,6,159.1,0,Bhuttan
56.9,165.6,25.6,9.3,7,171.2,0,Bhuttan
35.9,152.5,13.9,12.5,7,156,1,Assam
39.9,151.2,12.8,9,6.1,152.1,1,Assam
47.2,150.2,7.2,10.5,4.7,150.9,1,Assam
50.6,156.3,0.8,7,6.5,154.6,1,Assam
46.2,153.1,15.7,7.9,7.1,155.2,0,Assam
23.4,141,14.8,9.9,4.5,141.6,1,Assam
42.9,133.2,16.8,7.3,7.1,138.3,0,Bhuttan
57.1,164.4,21.7,8,6.7,171.3,1,Bhuttan
40.2,139.1,19.3,7.6,3.6,146.9,0,Bhuttan
55.2,157.2,10.2,13.8,8.7,158.9,1,Assam
39.6,156.4,2.4,8.2,4.9,159.1,1,Assam
38.4,148.7,14.9,6.9,4.6,153.5,0,Bhuttan
51.4,135.2,14.4,8.1,5.2,140.4,1,Bhuttan
29.2,139.3,10,3,5.3,143.1,1,Assam
43.2,156.9,6.5,9.1,7.2,158.3,1,Assam
42.9,141.7,1.4,7.3,5.9,140.6,1,Assam
41.4,156.1,23.6,8.1,5.1,164.3,1,Bhuttan
55.1,148,22.5,3.8,5,151.9,1,Bhuttan
56.2,146.8,20.3,8.7,5.6,151,0,Bhuttan
33.2,144.1,7.6,9.9,7.7,144,0,Assam
39.1,170.7,16.2,7.3,5.4,179.7,0,Bhuttan
60.3,164,9.3,9.2,6.1,167.1,1,Assam
57.9,142.6,10.6,8.5,5.4,147.5,0,Bhuttan
54.2,170.4,20.6,9.8,3.5,174.2,1,Bhuttan
47.1,162.4,5.2,9.9,5.7,166.3,1,Assam
25.3,124.2,8.1,6.5,4.9,124.1,0,Assam
33.6,131.2,7.7,9.8,5.4,132.5,1,Assam
33.4,143.9,15,9.2,5.5,149.1,1,Bhuttan
46.2,155,20.6,10.3,6.2,162.8,0,Assam
54.1,132.7,2,8.6,6.5,132.8,1,Assam
25.6,149.9,6.4,12.1,5.8,148.8,1,Assam
68.7,144,16.9,6.2,4.1,149.3,1,Bhuttan
43.5,147.8,15.4,10.2,5.6,150.7,1,Bhuttan
22.2,128.1,6.4,8.8,6.8,129.8,0,Assam
41.1,137.8,16.3,13.9,6.8,142.6,1,Assam
30.4,132.5,6.8,11.2,7.6,134.4,1,Assam
53.1,142.6,12.8,10.3,7.2,146.1,1,Assam
54.3,159.2,17.5,5.3,4.9,166.2,1,Bhuttan
54.8,149.6,7.7,8.6,6.5,150.3,1,Assam
50.2,172.4,2.9,10.1,7,174.2,1,Assam
34.7,132.8,8.1,9,6.8,135.1,1,Assam
24.7,121.7,3.8,11,5.5,125.4,1,Assam
70,148,14.2,6.3,6.7,153.1,0,Bhuttan
49.5,156.3,16.6,7.6,4.7,161.2,0,Bhuttan
31.8,135,17.2,12.3,4,135.6,0,Assam
78.9,164.8,17.1,9,6.3,170.8,1,Bhuttan
35.8,148.3,6.1,10.2,4.4,152,1,Assam
30.4,144.7,14,9.6,6.4,149.7,1,Assam
34.4,149.3,5,7.7,6,151.1,1,Assam
44.4,137.8,5.6,12.6,5.4,140,0,Assam
20,136.2,12.2,9.4,5.1,137.9,0,Assam
41,140,3.7,10,5.9,142.6,1,Assam
71.5,146,24.1,7.5,5.5,152.7,0,Bhuttan
70.5,149.4,16.1,9.5,8.7,155.4,0,Bhuttan
34,135.6,21.9,5.8,4.2,142.7,0,Bhuttan
27.8,132.1,6.6,11.2,7.2,135,1,Assam
30.5,132.4,9.7,12.6,6.9,138.3,1,Assam
55.1,157.6,8.9,14.3,7.8,160.3,1,Assam
58.6,141,9.1,9.5,7.9,144,0,Assam
58.2,142.6,14,6.7,7,148,1,Bhuttan
32.7,156.1,8.4,12.5,5.6,160.2,1,Assam
58.4,158.4,10.3,9,5.5,160.9,1,Assam
44.8,120.2,11.7,10.7,5.4,126.7,1,Bhuttan
58,143.3,-0.2,7.4,6.4,146.7,1,Assam
52,153.6,12.5,10.5,4.9,156.3,1,Assam
58.7,137.5,18.8,7.2,4.8,142.4,1,Bhuttan
55,128.9,14.3,10,5.7,135.6,1,Bhuttan
46.6,133.8,0.4,11,6.7,134.4,1,Assam
56,138.7,13.3,11.5,5.4,142.1,1,Assam
47.6,151.8,9.3,11.4,4.3,155.1,1,Assam
44.2,127.3,11.9,8,6.3,135.3,0,Bhuttan
41.6,148.8,16.6,8.7,4.7,157,1,Bhuttan
55.3,155.9,27.8,9,4,162,1,Bhuttan
48.1,137.9,27.5,10.5,5.6,144.8,1,Bhuttan
44.1,153.4,11.2,9.5,5.4,157.3,1,Assam
30.3,150.4,6.8,12.5,4.3,153,1,Assam
38.9,138.6,10.3,14.2,4.8,145.1,1,Assam
39,146.1,7,6.5,7.5,146.7,0,Assam
47.6,158.3,9.7,12.3,6.9,162.3,1,Assam
44.9,163.5,19.2,6.3,5.9,168.1,0,Bhuttan
71.9,150.1,23.3,7.7,4.7,156.1,1,Bhuttan
61.5,151.4,12.4,9.3,4.5,157.7,0,Bhuttan
52.8,138.6,11.5,6.6,3.6,141.1,0,Bhuttan
53.6,160.5,21.9,7.7,6.5,167.5,1,Bhuttan
27,147.3,5.4,10.4,5.9,148.8,1,Assam
26.4,146,6.1,11.5,6.3,147.1,1,Assam
44.2,144,16.3,8.7,4.6,151.5,1,Bhuttan
54.2,157.2,18,5.6,6.6,162.1,1,Bhuttan
48.5,148.9,5,11.4,6.1,150,1,Assam
58.6,147.3,8.1,10.6,5.8,154.2,0,Bhuttan
62.8,131.6,-0.7,9.9,5.2,136.8,0,Assam
34,141.1,13.1,6.9,6.3,141.4,1,Assam
56.3,145.5,12.6,8.6,3.8,152.8,0,Bhuttan
33.7,139.5,26,9.1,4.9,144.6,1,Bhuttan
52.9,155.1,16.6,8,5.3,159.9,1,Bhuttan
23.6,144.6,18.3,7.2,4,151.9,1,Bhuttan
51,145.7,7.1,8.1,5.9,145.5,1,Assam
37,153.7,11.3,10.1,6.1,157.3,1,Assam
55.4,154.6,19.2,14.1,4.6,156.8,0,Assam
46.1,148,16.4,5.7,4.8,150.1,0,Bhuttan
33.3,125.8,4.8,8,3.8,128.8,0,Assam
33.3,152.7,16.7,10.1,4.9,152.3,0,Assam
51.7,153.9,14.7,9.7,6.3,160.6,0,Bhuttan
37.6,125.4,7.6,11.6,6.7,123.8,0,Assam
34.5,134.3,9.9,6.1,6.2,134.2,1,Assam
35,146.5,7.5,9.6,6.9,149.7,0,Assam
49.3,157.2,13.8,10.6,6.8,157.9,0,Assam
38.9,145,7.5,10.2,5.5,147.6,1,Assam
49.3,166.9,21.8,9.4,2.6,169.9,0,Bhuttan
28.8,126.6,10,5.6,6.6,134.4,1,Bhuttan
61.2,159.1,8.6,9.8,3.4,164.6,0,Bhuttan
40.3,150.9,16.1,6.9,5.6,156.3,1,Bhuttan
30.1,143.6,9.4,8.2,4.4,149.3,1,Assam
48.4,139.3,14.8,10.2,5.9,139.1,1,Assam
50.8,152.9,15.9,16.2,6.8,154.6,0,Assam
44.7,165.9,15.4,9.4,5.1,163,0,Assam
52.3,154.9,23.4,6.8,5.4,160.7,1,Bhuttan
42.7,137.9,15.7,8.6,7.5,141.5,1,Assam
40.4,147.2,8,10.7,4,150.2,1,Assam
40.3,131,2.4,12.1,5.6,135.1,0,Assam
49.1,141,3.9,10.5,4.8,143.5,1,Assam
60.8,131.5,9.9,5,4.3,138.3,1,Bhuttan
43,156.4,20.8,5.5,5.2,161.4,1,Bhuttan
57.6,154.8,15.4,8.5,6.4,161.9,1,Bhuttan
22.3,136.1,9.6,11.5,4,138.9,1,Assam
49.7,151.2,24.6,7.7,5.1,158,1,Bhuttan
40.9,134.1,7.3,12.2,6,136.8,0,Assam
37.2,142.8,19.6,6.7,4.2,148.8,0,Bhuttan
58.2,141.2,16.6,12.7,6.1,145.1,0,Assam
29.2,137.1,9.3,7.6,5.9,139.8,0,Assam
38.9,139.4,18.2,8.1,6.9,137.9,0,Assam
44.1,144.7,9.4,12.5,5.6,146.6,1,Assam
54,138.6,11.5,9.1,6.1,141.4,1,Assam
17.7,139.6,9.5,9.7,4.2,142.3,1,Assam
56.5,147.5,18.3,6,4.7,153.7,1,Bhuttan
64.4,170.1,20.3,7.4,3.6,174.8,1,Bhuttan
41.9,148.7,6.5,13.9,4.6,154.4,1,Assam
56.9,140.9,8.7,11.7,6.4,143.3,1,Assam
44.7,138.1,13.6,9.3,5.3,141.7,1,Assam
49.8,153.3,14.8,7.9,4.3,158,0,Bhuttan
43.9,154.8,-1.1,9.6,5.3,153.3,1,Assam
32.1,136.8,18.4,7.5,6.7,143.1,0,Bhuttan
42.7,134.4,6.6,7.9,6.2,141.6,1,Bhuttan
43.6,142.4,7.6,11.7,5.3,142.7,1,Assam
51.1,163.9,16.5,10.6,7.2,171.6,1,Bhuttan
39.4,149.1,1,8.9,6.1,154.2,1,Assam
41.3,162,13.1,6.1,3.6,168,0,Bhuttan
61.7,151.8,-2.1,10.9,5.2,154.1,1,Assam
46.3,141.2,21.2,4,5.1,148.5,1,Bhuttan
43.1,142.1,21.7,10.3,5,150.2,1,Bhuttan
39,156.6,-1.2,8.6,6.2,156.6,1,Assam
64.2,136.5,13.9,9.3,4.1,143.1,0,Bhuttan
42,142.9,18,8.6,4.2,146.7,0,Assam
26,148.4,7.3,6.3,5.3,156.5,0,Bhuttan
46.3,148.9,3.5,10,7.3,150.7,0,Assam
54.6,161.5,2.3,10.7,5.9,164.7,1,Assam
38.7,165.1,23.4,9.5,4.7,170.1,1,Bhuttan
45.6,151.4,9,8.8,5.1,155.5,1,Assam
60.8,158.1,18.8,8.6,6.1,165,0,Bhuttan
21.1,136.4,5.7,8.8,7.2,137.9,0,Assam
33.9,137.1,7.7,13.2,6.6,142.9,0,Assam
41.2,148.8,15.7,8.6,5.4,150.2,0,Assam
59.3,157.1,23.8,7,3.6,164.7,0,Bhuttan
47.6,135,9.7,8.9,4.9,139.3,0,Bhuttan
37.3,154.5,14.7,8.7,4.9,163.5,0,Bhuttan
39.5,153.4,12.7,10.9,5.5,156.2,1,Assam
41.3,153.3,20.4,8.8,5.7,156.4,0,Bhuttan
64.5,149.3,16.4,9,3.8,158.7,0,Bhuttan
56.7,156.3,25.9,6.9,6.3,161.8,1,Bhuttan
54,138,22.9,8.2,5.2,143.4,1,Bhuttan
50,135.5,6.6,7,5.4,138.4,1,Assam
31.7,138.9,8.1,6.4,6.8,140.1,0,Assam
35.9,122.2,6.7,10.8,4.3,125.3,0,Assam
52.7,164.9,20.1,12.2,5.4,165.4,0,Assam
27.1,143.1,7.8,9.1,5.7,145.6,1,Assam
52.9,149.2,16.3,7.5,5.9,152.4,1,Bhuttan
63.7,147.9,18.9,6.6,4.2,153.3,0,Bhuttan
42,139.7,10.9,13,6.1,138.4,1,Assam
33.9,127.9,12.1,9.2,2,133.6,0,Bhuttan
36.4,130.1,6.1,9.9,4.5,130.6,0,Assam
41.4,148.8,8.6,10.9,7.6,152.6,0,Assam
68.6,163.6,16,5.6,3.6,169.6,1,Bhuttan
49.9,144.6,17.7,6.2,5.6,149.8,1,Bhuttan
41.1,137.1,19.3,9.2,3.9,144,1,Bhuttan
58.7,142.5,8.2,8.6,7.7,145.4,0,Assam
55,150.7,11.2,7.7,5.9,158,0,Bhuttan
45.6,148.7,11.9,7.3,6.5,151.9,1,Assam
58.3,137.6,14.6,10.5,6.5,140.3,0,Assam
42.5,135,13.4,6.6,4.6,140.4,0,Bhuttan
51.2,151.7,18.1,7.3,6.1,157.5,1,Bhuttan
43.2,142.8,7.1,7.5,3.3,149.3,1,Bhuttan
57.1,136.2,22.6,7.9,5.3,142.4,0,Bhuttan
56.4,156.3,17.4,7.5,4.9,163.4,1,Bhuttan
47.7,149.4,8.9,9.8,7.2,153.3,1,Assam
41.7,165.8,3.7,8.8,5.9,169.2,1,Assam
40.4,146.2,8.7,9.8,6.5,149.4,1,Assam
43.7,166,5.1,9.2,5.2,169.3,1,Assam
32.5,144.2,12.3,12.8,7,145.3,0,Assam
65.8,169.7,14.1,8.9,4.8,176.5,0,Bhuttan
43.5,136.3,4.2,9.2,5.7,140.2,1,Assam
61.2,127.6,13.9,8.2,5.5,133.5,0,Bhuttan
36.2,147.6,14.9,11.8,6,154.7,0,Bhuttan
36.6,128.3,12.7,6.3,6.3,135.2,0,Bhuttan
61.1,154.5,16.2,8.3,4.9,160.9,1,Bhuttan
29.1,136.1,26.6,7.8,5.6,141.9,0,Bhuttan
51.8,166.1,13.3,9.1,2.8,174.2,1,Bhuttan
39.5,136.4,13.8,8.3,5.9,138.8,0,Assam
43.9,146.6,16.1,10.2,6.5,152.8,0,Bhuttan
54,141.6,6.5,11.9,7,142.8,1,Assam
49,160.8,20.4,9.4,5.8,166.2,0,Bhuttan
32.8,136.4,8.6,12.5,6,140,0,Assam
59.1,154.9,18.6,8.9,5.2,161.9,0,Bhuttan
64.2,149,24.5,9.8,4.8,153.4,1,Bhuttan
40.7,145.8,8.3,11.4,5,145.6,1,Assam
29.3,155.6,3.1,7,6.1,158.5,1,Assam
43.4,160.3,19.6,10.1,5.3,166.4,1,Bhuttan
45.8,138.2,20.5,9.5,6.4,139.3,1,Assam
44.5,145.4,11.7,7.1,6.6,151.2,0,Bhuttan
64.3,136.2,13.9,10.8,6.2,140.4,0,Assam
32.5,133.4,12.1,8.5,6.3,138,1,Assam
60,157.5,7.3,8.2,6.7,161.3,0,Assam
37.9,132.4,11.3,10.2,3.7,136.1,1,Bhuttan
49,146.7,-1.1,11.4,6,149.1,1,Assam
68.7,154.4,21,9.4,5,161,0,Bhuttan
